1.00001e-06 0 0 
0 0 0 
0 0 0 
0 0 0 
1.00001e-06 0 9.99949e-07 
1.00001e-06 0 1.00001e-06 
0 9.99949e-07 0 
1.00001e-06 1.00001e-06 0 
1.00001e-06 0 0 
0 9.99949e-07 0 
1.00001e-06 1.00001e-06 9.99949e-07 
1.00001e-06 1.00001e-06 1.00001e-06 
1.00001e-06 0 1.00001e-06 
1.00001e-06 1.00001e-06 0 
1.00001e-06 0 1.00001e-06 
1.00001e-06 1.00001e-06 0 
1.00001e-06 1.00001e-06 1.00001e-06 
1.00001e-06 9.99949e-07 1.00001e-06 
1.00001e-06 0 1.00001e-06 
9.99949e-07 1.00001e-06 9.99949e-07 
9.99949e-07 1.00001e-06 1.00001e-06 
9.99949e-07 9.99949e-07 1.00001e-06 
2.00002e-06 1.00001e-06 1.99996e-06 
1.99996e-06 1.00001e-06 1.00001e-06 
1.00001e-06 1.00001e-06 2.00002e-06 
9.99949e-07 1.00001e-06 9.99949e-07 
2.00002e-06 1.00001e-06 2.00002e-06 
2.00002e-06 1.00001e-06 1.00001e-06 
2.00002e-06 1.00001e-06 1.00001e-06 
2.00002e-06 2.00002e-06 9.99949e-07 
2.99996e-06 3.00002e-06 1.99996e-06 
2.99996e-06 1.99996e-06 2.00002e-06 
2.00002e-06 2.00002e-06 2.00002e-06 
3.00002e-06 2.00002e-06 2.00002e-06 
2.99996e-06 1.99996e-06 2.00002e-06 
3.00002e-06 2.00002e-06 2.00002e-06 
2.99996e-06 3.00002e-06 3.00002e-06 
3.99997e-06 2.99996e-06 2.00002e-06 
3.00002e-06 1.99996e-06 3.00002e-06 
2.99996e-06 1.99996e-06 2.00002e-06 
3.99997e-06 2.99996e-06 3.00002e-06 
2.99996e-06 3.00002e-06 3.00002e-06 
4.99998e-06 3.99997e-06 2.99996e-06 
5.00004e-06 3.99997e-06 3.00002e-06 
5.00004e-06 4.99998e-06 4.00003e-06 
4.99998e-06 3.99997e-06 3.99997e-06 
4.00003e-06 4.00003e-06 3.99997e-06 
5.99999e-06 4.00003e-06 3.99997e-06 
4.99998e-06 3.99997e-06 3.00002e-06 
5.00004e-06 4.00003e-06 3.99997e-06 
5.00004e-06 4.99998e-06 3.99997e-06 
4.99998e-06 4.99998e-06 3.99997e-06 
5.99999e-06 4.99998e-06 3.99997e-06 
5.99999e-06 5.00004e-06 4.00003e-06 
6.00005e-06 4.99998e-06 4.99998e-06 
8e-06 5.99999e-06 4.99998e-06 
6.00005e-06 6.00005e-06 5.00004e-06 
7e-06 4.99998e-06 5.00004e-06 
7e-06 5.99999e-06 4.99998e-06 
7e-06 5.99999e-06 5.99999e-06 
8e-06 8e-06 5.99999e-06 
7e-06 7e-06 5.99999e-06 
8e-06 8e-06 7e-06 
8e-06 8e-06 6.00005e-06 
8e-06 7e-06 5.99999e-06 
